"","order","species","adult_body_mass_g","adult_head_body_len_mm","home_range_km2","litter_size"
"2883","Rodentia","Necromys benefactus",NA,NA,NA,NA
"2884","Rodentia","Necromys lactens",32.9,NA,NA,NA
"2885","Rodentia","Necromys lasiurus",39.93,144.99,NA,4.5
"2886","Rodentia","Necromys lenguarum",NA,NA,NA,NA
"2887","Rodentia","Necromys obscurus",40.69,NA,NA,4.86
"2888","Rodentia","Nelsonia goldmani",NA,NA,NA,NA
"2889","Rodentia","Nelsonia neotomodon",80,NA,NA,NA
"2890","Rodentia","Neodon forresti",NA,NA,NA,NA
"2891","Rodentia","Neodon irene",NA,NA,NA,NA
"2892","Rodentia","Neodon juldaschi",NA,NA,NA,3.52
"2893","Rodentia","Neodon sikimensis",NA,NA,NA,2.25
"2894","Carnivora","Neofelis nebulosa",14945.05,836.74,NA,2.25
"2895","Rodentia","Neofiber alleni",265.38,199.49,3.79558e-05,2.33
"2896","Erinaceomorpha","Neohylomys hainanensis",52.21,134.99,NA,NA
"2897","Soricomorpha","Neomys anomalus",13.19,75.99,NA,7.1
"2898","Soricomorpha","Neomys fodiens",15.26,81.94,0.000156744,6.39
"2899","Soricomorpha","Neomys teres",NA,86.94,NA,NA
"2900","Chiroptera","Neonycteris pusilla",NA,NA,NA,NA
"2901","Dasyuromorphia","Neophascogale lorentzi",212,195.77,NA,NA
"2902","Carnivora","Neophoca cinerea",189274.99,1798.13,NA,1.35
"2903","Cetacea","Neophocaena phocaenoides",32500,NA,NA,0.97
"2904","Chiroptera","Neopteryx frosti",NA,NA,NA,0.98
"2905","Chiroptera","Neoromicia brunneus",NA,NA,NA,NA
"2906","Chiroptera","Neoromicia capensis",5.96,NA,NA,1.96
"2907","Chiroptera","Neoromicia flavescens",10.5,NA,NA,NA
"2908","Chiroptera","Neoromicia guineensis",NA,NA,NA,NA
"2909","Chiroptera","Neoromicia helios",3.56,NA,NA,NA
"2910","Chiroptera","Neoromicia melckorum",NA,NA,NA,1.98
"2911","Chiroptera","Neoromicia nanus",3.88,NA,NA,1.86
"2912","Chiroptera","Neoromicia rendalli",6.42,NA,NA,NA
"2913","Chiroptera","Neoromicia somalicus",3.53,84.99,NA,2
"2914","Chiroptera","Neoromicia tenuipinnis",5.35,37,NA,NA
"2915","Chiroptera","Neoromicia zuluensis",4.14,NA,NA,NA
"2916","Erinaceomorpha","Neotetracus sinensis",NA,117.96,NA,4.28
"2917","Rodentia","Neotoma albigula",208.18,175.47,0.000197477,2.14
"2918","Rodentia","Neotoma angustapalata",198,NA,NA,NA
"2919","Rodentia","Neotoma anthonyi",195.4,179.65,NA,NA
"2920","Rodentia","Neotoma bryanti",182,209,NA,NA
"2921","Rodentia","Neotoma bunkeri",375,NA,NA,NA
"2922","Rodentia","Neotoma chrysomelas",NA,NA,NA,0.97
"2923","Rodentia","Neotoma cinerea",285.89,208.96,0.03,3.45
"2924","Rodentia","Neotoma devia",200,NA,NA,NA
"2925","Rodentia","Neotoma floridana",249.16,212.67,0.001763588,3.11
"2926","Rodentia","Neotoma fuscipes",213.26,207.38,0.001759369,2.79
"2927","Rodentia","Neotoma goldmani",198,144.96,NA,1.29
"2928","Rodentia","Neotoma lepida",143.88,163.73,0.001105651,2.7
"2929","Rodentia","Neotoma leucodon",NA,NA,NA,NA
"2930","Rodentia","Neotoma macrotis",225.74,NA,NA,NA
"2931","Rodentia","Neotoma magister",447,NA,NA,2
"2932","Rodentia","Neotoma martinensis",240.16,184.15,NA,NA
"2933","Rodentia","Neotoma mexicana",203,184.13,NA,2.59
"2934","Chiroptera","Nyctophilus nebulosus",NA,NA,NA,NA
"2935","Chiroptera","Nyctophilus timoriensis",11.02,NA,NA,2
"2936","Chiroptera","Nyctophilus walkeri",4.44,NA,NA,NA
"2937","Lagomorpha","Ochotona alpina",150,175,NA,3.07
"2938","Lagomorpha","Ochotona argentata",NA,NA,NA,NA
"2939","Lagomorpha","Ochotona cansus",68.75,134.5,0.000567109,3.65
"2940","Lagomorpha","Ochotona collaris",129,187.44,0.001003006,3.35
"2941","Lagomorpha","Ochotona curzoniae",159.47,170,0.001073894,4.39
"2942","Lagomorpha","Ochotona dauurica",131.01,180,NA,5.91
"2943","Lagomorpha","Ochotona erythrotis",NA,245,NA,NA
"2944","Lagomorpha","Ochotona forresti",NA,NA,NA,NA
"2945","Lagomorpha","Ochotona gaoligongensis",NA,167.08,NA,NA
"2946","Lagomorpha","Ochotona gloveri",NA,NA,NA,NA
"2947","Lagomorpha","Ochotona himalayana",NA,165.5,NA,3.42
"2948","Lagomorpha","Ochotona hoffmanni",NA,NA,NA,NA
"2949","Lagomorpha","Ochotona huangensis",105.33,156.39,NA,NA
"2950","Lagomorpha","Ochotona hyperborea",120,160,0.002148301,3.02
"2951","Lagomorpha","Ochotona iliensis",NA,203.19,NA,NA
"2952","Lagomorpha","Ochotona koslowi",NA,239.99,NA,1
"2953","Lagomorpha","Ochotona ladacensis",NA,177.4,NA,NA
"2954","Lagomorpha","Ochotona macrotis",204.75,178.5,NA,4.23
"2955","Lagomorpha","Ochotona muliensis",NA,NA,NA,NA
"2956","Lagomorpha","Ochotona nigritia",NA,NA,NA,NA
"2957","Lagomorpha","Ochotona nubrica",NA,150,NA,NA
"2958","Lagomorpha","Ochotona pallasi",NA,NA,0.001754244,7.45
"2959","Lagomorpha","Ochotona princeps",157.63,190,0.001114724,2.88
"2960","Lagomorpha","Ochotona pusilla",142.5,157,NA,8.59
"2961","Lagomorpha","Ochotona roylei",260,177.71,NA,3
"2962","Artiodactyla","Pelea capreolus",22731.33,NA,NA,1
"2963","Rodentia","Pelomys campanae",NA,NA,NA,NA
"2964","Rodentia","Pelomys fallax",120.46,NA,NA,4
"2965","Rodentia","Pelomys hopkinsi",NA,NA,NA,NA
"2966","Rodentia","Pelomys isseli",59.99,NA,NA,NA
"2967","Rodentia","Pelomys minor",49.99,NA,NA,2.5
"2968","Lagomorpha","Pentalagus furnessi",NA,443.99,NA,2.44
"2969","Rodentia","Oecomys concolor",46.33,NA,NA,2.95
"2970","Rodentia","Oecomys flavicans",73.4,NA,NA,NA
"2971","Rodentia","Oecomys mamorae",62.5,NA,NA,NA
"2972","Rodentia","Oecomys paricola",73.4,NA,NA,NA
"2973","Rodentia","Oecomys phaeotis",73.4,NA,NA,NA
"2974","Rodentia","Oecomys rex",73.4,NA,NA,NA
"2975","Rodentia","Oecomys roberti",73.4,NA,NA,NA
"2976","Rodentia","Oecomys rutilus",73.4,NA,NA,NA
"2977","Rodentia","Oecomys speciosus",73.4,NA,NA,NA
"2978","Rodentia","Oecomys superans",73.4,NA,NA,NA
"2979","Rodentia","Oecomys trinitatis",73.4,NA,NA,NA
"2980","Rodentia","Oenomys hypoxanthus",89.84,NA,NA,2.81
"2981","Rodentia","Oenomys ornatus",85.5,NA,NA,NA
"2982","Artiodactyla","Okapia johnstoni",230001.14,2000,4.63,0.98
"2983","Rodentia","Olallamys albicauda",273.5,NA,NA,NA
"2984","Rodentia","Olallamys edax",206.4,NA,NA,NA
"2985","Rodentia","Oligoryzomys andinus",25.2,NA,NA,NA
"2986","Rodentia","Oligoryzomys arenalis",25.2,NA,NA,NA
"2987","Rodentia","Oligoryzomys brendae",NA,NA,NA,NA
"2988","Rodentia","Oligoryzomys chacoensis",23,NA,NA,NA
"2989","Rodentia","Oligoryzomys delticola",29.39,NA,NA,3.3
"2990","Rodentia","Oligoryzomys destructor",25.2,NA,NA,NA
"2991","Rodentia","Oligoryzomys eliurus",34.58,NA,NA,NA
"2992","Rodentia","Oligoryzomys flavescens",21.3,NA,NA,4.95
"2993","Rodentia","Oligoryzomys fornesi",NA,NA,NA,NA
"2994","Rodentia","Oligoryzomys fulvescens",25,NA,NA,3.64
"2995","Rodentia","Oligoryzomys griseolus",25.2,NA,NA,NA
"2996","Rodentia","Oligoryzomys longicaudatus",27.54,NA,0.000641437,4.77
"2997","Rodentia","Oligoryzomys magellanicus",25.2,NA,NA,NA
"2998","Rodentia","Oligoryzomys microtis",22.5,NA,NA,NA
"2999","Rodentia","Oligoryzomys nigripes",20.33,61.7,NA,3.59
"3000","Rodentia","Oligoryzomys stramineus",NA,NA,NA,NA
"3001","Rodentia","Oligoryzomys vegetus",NA,NA,NA,NA
"3002","Rodentia","Oligoryzomys victus",NA,NA,NA,NA
"3003","Carnivora","Ommatophoca rossii",208252.12,2061.84,NA,0.96
"3004","Rodentia","Ondatra zibethicus",991.31,276.67,0.003209364,6.55
"3005","Diprotodontia","Onychogalea fraenata",4952.05,525,0.33,1
"3006","Diprotodontia","Onychogalea lunata",3499.99,NA,NA,1
"3007","Diprotodontia","Onychogalea unguifera",6494.73,NA,NA,1
"3008","Rodentia","Onychomys arenicola",30,NA,NA,NA
"3009","Rodentia","Oryzomys curasoae",NA,NA,NA,NA
"3010","Rodentia","Oryzomys devius",NA,NA,NA,NA
"3011","Rodentia","Oryzomys dimidiatus",NA,NA,NA,NA
"3012","Rodentia","Oryzomys emmonsae",NA,NA,NA,NA
"3013","Rodentia","Oryzomys galapagoensis",63.51,112.71,NA,NA
"3014","Rodentia","Oryzomys gorgasi",60.5,NA,NA,NA
"3015","Rodentia","Oryzomys hammondi",60.5,NA,NA,NA
"3016","Rodentia","Oryzomys keaysi",58.29,NA,NA,NA
"3017","Rodentia","Oryzomys lamia",60.5,NA,NA,NA
"3018","Rodentia","Oryzomys laticeps",49.11,NA,NA,NA
"3019","Rodentia","Oryzomys legatus",61.5,NA,NA,NA
"3020","Rodentia","Oryzomys levipes",60.5,NA,NA,NA
"3021","Rodentia","Oryzomys macconnelli",66.49,NA,NA,NA
"3022","Rodentia","Oryzomys maracajuensis",NA,NA,NA,NA
"3023","Rodentia","Oryzomys marinhus",NA,NA,NA,NA
"3024","Rodentia","Oryzomys megacephalus",57,122.13,0.006039781,3.72
"3025","Rodentia","Oryzomys melanotis",49.99,NA,NA,3.88
"3026","Rodentia","Oryzomys meridensis",NA,NA,NA,NA
"3027","Rodentia","Oryzomys nelsoni",NA,NA,NA,NA
"3028","Rodentia","Oryzomys nitidus",55.19,NA,NA,NA
"3029","Rodentia","Oryzomys palustris",53.26,133.5,0.002784913,4.08
"3030","Rodentia","Oryzomys perenensis",NA,NA,NA,NA
"3031","Rodentia","Oryzomys polius",60.5,NA,NA,NA
"3032","Rodentia","Oryzomys rhabdops",NA,NA,NA,NA
"3033","Rodentia","Oryzomys rostratus",NA,NA,NA,NA
"3034","Rodentia","Oryzomys russatus",60.5,NA,NA,NA
"3035","Rodentia","Oryzomys saturatior",NA,NA,NA,NA
"3036","Rodentia","Oryzomys scotti",NA,NA,NA,NA
"3037","Rodentia","Neotoma micropus",255.14,212.68,0.000200287,2.5
"3038","Rodentia","Neotoma nelsoni",198,NA,NA,NA
"3039","Rodentia","Neotoma palatina",198,NA,NA,NA
"3040","Rodentia","Neotoma phenax",227.49,196,NA,2
"3041","Rodentia","Neotoma stephensi",149.22,161,NA,1.06
"3042","Rodentia","Neotomodon alstoni",44.64,115.16,0.001524967,3.2
"3043","Rodentia","Neotomys ebriosus",64.5,NA,NA,NA
"3044","Artiodactyla","Neotragus batesi",2967.45,540,NA,1
"3045","Artiodactyla","Neotragus moschatus",5639.01,599.99,NA,1
"3046","Artiodactyla","Neotragus pygmaeus",3913.68,499.99,NA,1
"3047","Carnivora","Neovison macrodon",NA,NA,NA,NA
"3048","Carnivora","Neovison vison",NA,NA,NA,NA
"3049","Soricomorpha","Nesiotites hidalgo",NA,NA,NA,NA
"3050","Soricomorpha","Nesiotites similis",NA,NA,NA,NA
"3051","Rodentia","Nesokia bunnii",NA,NA,NA,NA
"3052","Rodentia","Nesokia indica",178.08,NA,NA,4.18
"3053","Lagomorpha","Nesolagus netscheri",1511.67,377.73,NA,NA
"3054","Lagomorpha","Nesolagus timminsi",NA,NA,NA,NA
"3055","Rodentia","Nesomys audeberti",214.04,NA,0.007414147,NA
"3056","Rodentia","Nesomys lambertoni",155,NA,NA,NA
"3057","Rodentia","Nesomys rufus",163.96,208,0.003902215,NA
"3058","Soricomorpha","Nesophontes edithae",NA,NA,NA,NA
"3059","Soricomorpha","Nesophontes hypomicrus",NA,NA,NA,NA
"3060","Soricomorpha","Nesophontes longirostris",NA,NA,NA,NA
"3061","Soricomorpha","Nesophontes major",NA,NA,NA,NA
"3062","Soricomorpha","Nesophontes micrus",NA,NA,NA,NA
"3063","Soricomorpha","Nesophontes paramicrus",NA,NA,NA,NA
"3064","Soricomorpha","Nesophontes submicrus",NA,NA,NA,NA
"3065","Soricomorpha","Nesophontes superstes",NA,NA,NA,NA
"3066","Soricomorpha","Nesophontes zamicrus",NA,NA,NA,NA
"3067","Rodentia","Nesoromys ceramicus",NA,NA,NA,NA
"3068","Rodentia","Nesoryzomys darwini",NA,NA,NA,NA
"3069","Rodentia","Nesoryzomys fernandinae",NA,NA,NA,NA
"3070","Rodentia","Nesoryzomys indefessus",NA,NA,NA,NA
"3071","Rodentia","Nesoryzomys swarthi",NA,NA,NA,NA
"3072","Soricomorpha","Neurotrichus gibbsii",9.56,78.76,0.002858953,2.99
"3073","Rodentia","Neusticomys monticolus",39.5,NA,NA,1.94
"3074","Rodentia","Neusticomys mussoi",40,NA,NA,NA
"3075","Rodentia","Neusticomys oyapocki",47,NA,NA,NA
"3076","Rodentia","Neusticomys peruviensis",40,NA,NA,NA
"3077","Rodentia","Neusticomys venezuelae",47.1,NA,NA,NA
"3078","Rodentia","Nilopegamys plumbeus",NA,NA,NA,NA
"3079","Dasyuromorphia","Ningaui ridei",9.42,NA,NA,5.99
"3080","Dasyuromorphia","Ningaui timealeyi",6.37,NA,NA,5.7
"3081","Dasyuromorphia","Ningaui yvonnae",9.3,NA,NA,7
"3082","Rodentia","Niviventer andersoni",NA,NA,NA,NA
"3083","Rodentia","Niviventer brahma",NA,NA,NA,NA
"3084","Rodentia","Niviventer cameroni",NA,NA,NA,NA
"3085","Rodentia","Niviventer confucianus",NA,NA,NA,NA
"3086","Rodentia","Niviventer coninga",80.65,130.63,NA,2.37
"3087","Rodentia","Niviventer cremoriventer",71.54,159,NA,3.7
"3088","Rodentia","Niviventer culturatus",81.17,143.23,NA,NA
"3089","Rodentia","Niviventer eha",NA,NA,NA,4.86
"3090","Rodentia","Niviventer excelsior",NA,NA,NA,NA
"3091","Rodentia","Niviventer fraternus",NA,NA,NA,NA
"3092","Rodentia","Niviventer fulvescens",81.79,NA,NA,4.41
"3093","Rodentia","Niviventer hinpoon",NA,NA,NA,NA
"3094","Rodentia","Niviventer langbianis",NA,NA,NA,NA
"3095","Rodentia","Niviventer lepturus",NA,NA,NA,NA
"3096","Rodentia","Niviventer niviventer",100,NA,NA,NA
"3097","Rodentia","Niviventer rapit",79.73,159,NA,NA
"3098","Rodentia","Niviventer tenaster",NA,NA,NA,NA
"3099","Chiroptera","Noctilio albiventris",31.46,66.5,NA,0.99
"3100","Chiroptera","Noctilio leporinus",29.93,NA,NA,NA
"3101","Primates","Nomascus concolor",6410.47,545,1.05,1.01
"3102","Primates","Nomascus gabriellae",NA,NA,NA,NA
"3103","Primates","Nomascus hainanus",NA,NA,NA,NA
"3104","Primates","Nomascus leucogenys",7320,545,NA,NA
"3105","Primates","Nomascus siki",NA,NA,NA,NA
"3106","Rodentia","Noronhomys vespuccii",NA,NA,NA,NA
"3107","Rodentia","Notiomys edwardsii",21.3,NA,NA,NA
"3108","Soricomorpha","Notiosorex cockrumi",NA,NA,NA,NA
"3109","Soricomorpha","Notiosorex crawfordi",4.79,61.36,NA,3.69
"3110","Soricomorpha","Notiosorex evotis",5.28,66.53,NA,NA
"3111","Soricomorpha","Notiosorex villai",NA,NA,NA,NA
"3112","Rodentia","Notomys alexis",32.34,100.93,NA,4.01
"3113","Rodentia","Notomys amplus",89.99,145.05,NA,NA
"3114","Rodentia","Notomys aquilo",38.99,103.19,NA,NA
"3115","Rodentia","Notomys cervinus",34.79,100.8,NA,2.95
"3116","Rodentia","Notomys fuscus",39.28,120.81,NA,3.07
"3117","Rodentia","Notomys longicaudatus",100,138.19,NA,NA
"3118","Rodentia","Notomys macrotis",89.99,117.99,NA,NA
"3119","Rodentia","Notomys mitchellii",42.8,113.31,NA,3.28
"3120","Rodentia","Notomys mordax",89.99,NA,NA,NA
"3121","Chiroptera","Notopteris macdonaldi",68.17,NA,NA,0.99
"3122","Chiroptera","Notopteris neocaledonica",NA,NA,NA,1
"3123","Notoryctemorphia","Notoryctes caurinus",NA,NA,NA,NA
"3124","Notoryctemorphia","Notoryctes typhlops",55,134.59,NA,1
"3125","Chiroptera","Nyctalus aviator",NA,NA,NA,1.91
"3126","Chiroptera","Nyctalus azoreum",NA,NA,NA,NA
"3127","Chiroptera","Nyctalus furvus",NA,NA,NA,NA
"3128","Chiroptera","Nyctalus lasiopterus",45.98,NA,NA,1.82
"3129","Chiroptera","Nyctalus leisleri",12.47,NA,NA,1.73
"3130","Chiroptera","Nyctalus montanus",NA,NA,NA,NA
"3131","Chiroptera","Nyctalus noctula",28.48,75,NA,1.33
"3132","Chiroptera","Nyctalus plancyi",NA,NA,NA,NA
"3133","Carnivora","Nyctereutes procyonoides",4214.99,447.38,1.15,6.36
"3134","Chiroptera","Nycteris arge",10.79,NA,NA,0.98
"3135","Chiroptera","Nycteris aurita",NA,NA,NA,NA
"3136","Chiroptera","Nycteris gambiensis",7.13,NA,NA,NA
"3137","Chiroptera","Nycteris grandis",29.8,75.99,NA,1
"3138","Chiroptera","Nycteris hispida",7.98,NA,NA,0.99
"3139","Chiroptera","Nycteris intermedia",NA,NA,NA,NA
"3140","Chiroptera","Nycteris javanica",17.78,NA,NA,1
"3141","Chiroptera","Nycteris macrotis",14.49,NA,NA,0.99
"3142","Chiroptera","Nycteris madagascariensis",17.69,115,NA,NA
"3143","Chiroptera","Nycteris major",NA,NA,NA,NA
"3144","Chiroptera","Nycteris nana",6.98,NA,NA,1
"3145","Chiroptera","Nycteris parisii",NA,NA,NA,NA
"3146","Chiroptera","Nycteris thebaica",9.2,52.65,NA,1
"3147","Chiroptera","Nycteris tragata",14.4,NA,NA,NA
"3148","Chiroptera","Nycteris vinsoni",NA,NA,NA,NA
"3149","Chiroptera","Nycteris woodi",7.6,NA,NA,NA
"3150","Primates","Nycticebus bengalensis",1137.36,NA,NA,NA
"3151","Primates","Nycticebus coucang",924.55,300,NA,1.12
"3152","Primates","Nycticebus pygmaeus",342.32,NA,NA,1.75
"3153","Chiroptera","Nycticeinops schlieffeni",5.05,NA,NA,2.54
"3154","Chiroptera","Nycticeius aenobarbus",NA,NA,NA,NA
"3155","Chiroptera","Nycticeius cubanus",NA,NA,NA,NA
"3156","Chiroptera","Nycticeius humeralis",9.12,NA,NA,1.94
"3157","Chiroptera","Nyctiellus lepidus",NA,NA,NA,NA
"3158","Chiroptera","Nyctimene aello",85.26,121.55,NA,0.98
"3159","Chiroptera","Nyctimene albiventer",29.95,82.32,NA,0.98
"3160","Chiroptera","Nyctimene cephalotes",44.92,94.7,NA,0.98
"3161","Chiroptera","Nyctimene certans",43.24,86.36,NA,NA
"3162","Chiroptera","Nyctimene cyclotis",48.83,NA,NA,NA
"3163","Chiroptera","Nyctimene draconilla",30.15,110,NA,NA
"3164","Chiroptera","Nyctimene keasti",NA,NA,NA,NA
"3165","Chiroptera","Nyctimene major",107.06,134.03,NA,NA
"3166","Chiroptera","Nyctimene malaitensis",78.39,119.69,NA,NA
"3167","Chiroptera","Nyctimene masalai",53.2,NA,NA,NA
"3168","Chiroptera","Nyctimene minutus",NA,NA,NA,NA
"3169","Chiroptera","Nyctimene rabori",68.25,NA,NA,1
"3170","Chiroptera","Nyctimene robinsoni",48.83,NA,NA,0.99
"3171","Chiroptera","Nyctimene sanctacrucis",NA,NA,NA,NA
"3172","Chiroptera","Nyctimene vizcaccia",41.96,93.93,NA,NA
"3173","Chiroptera","Nyctinomops aurispinosus",18.43,NA,NA,1
"3174","Chiroptera","Nyctinomops femorosaccus",15.04,NA,NA,0.99
"3175","Chiroptera","Nyctinomops laticaudatus",13.12,NA,NA,0.99
"3176","Chiroptera","Nyctinomops macrotis",16.38,NA,NA,0.99
"3177","Rodentia","Nyctomys sumichrasti",59.99,NA,NA,2
"3178","Chiroptera","Nyctophilus arnhemensis",6.83,NA,NA,NA
"3179","Chiroptera","Nyctophilus bifax",9.89,NA,NA,2
"3180","Chiroptera","Nyctophilus geoffroyi",NA,NA,NA,NA
"3181","Chiroptera","Nyctophilus gouldi",11.32,NA,NA,1.54
"3182","Chiroptera","Nyctophilus heran",NA,NA,NA,NA
"3183","Chiroptera","Nyctophilus howensis",NA,NA,NA,NA
"3184","Chiroptera","Nyctophilus microdon",NA,NA,NA,NA
"3185","Chiroptera","Nyctophilus microtis",7.29,NA,NA,NA
"3186","Lagomorpha","Ochotona rufescens",250,197.49,NA,6.05
"3187","Lagomorpha","Ochotona rutila",NA,208.83,NA,4.1
"3188","Lagomorpha","Ochotona thibetana",NA,NA,NA,2.93
"3189","Lagomorpha","Ochotona thomasi",NA,NA,NA,NA
"3190","Lagomorpha","Ochotona turuchanensis",NA,NA,NA,NA
"3191","Rodentia","Ochrotomys nuttalli",22.81,92.18,0.003362546,2.62
"3192","Rodentia","Octodon bridgesi",162.25,159.62,NA,NA
"3193","Rodentia","Octodon degus",203.27,280,NA,5.31
"3194","Rodentia","Octodon lunatus",200.55,NA,NA,NA
"3195","Rodentia","Octodon pacificus",NA,NA,NA,NA
"3196","Rodentia","Octodontomys gliroides",155.77,NA,NA,2.04
"3197","Rodentia","Octomys mimax",124.43,NA,NA,NA
"3198","Carnivora","Odobenus rosmarus",1042996.25,2870.18,NA,1.22
"3199","Artiodactyla","Odocoileus hemionus",84560.57,1516.5,2.01,1.61
"3200","Artiodactyla","Odocoileus virginianus",75901.25,1513.69,1.99,1.57
"3201","Rodentia","Oecomys auyantepui",NA,NA,NA,NA
"3202","Rodentia","Oecomys bicolor",40.74,NA,NA,3.15
"3203","Rodentia","Oecomys catherinae",NA,NA,NA,NA
"3204","Rodentia","Oecomys cleberi",73.4,NA,NA,NA
"3205","Rodentia","Onychomys leucogaster",27.92,103.46,0.02,3.84
"3206","Rodentia","Onychomys torridus",21.68,94.8,0.01,3.3
"3207","Cetacea","Orcaella brevirostris",189999.99,2500,NA,1
"3208","Cetacea","Orcinus orca",5628758.66,8652.64,79244.72,1
"3209","Artiodactyla","Oreamnos americanus",72105.4,1297.33,18.17,1.4
"3210","Primates","Oreonax flavicauda",8229.12,550.38,NA,1
"3211","Artiodactyla","Oreotragus oreotragus",13486.55,824.99,NA,0.98
"3212","Monotremata","Ornithorhynchus anatinus",1484.25,419.18,0.07,2
"3213","Rodentia","Orthogeomys cavator",650,NA,NA,NA
"3214","Rodentia","Orthogeomys cherriei",NA,NA,NA,NA
"3215","Rodentia","Orthogeomys cuniculus",499.99,NA,NA,NA
"3216","Rodentia","Orthogeomys dariensis",437.99,NA,NA,NA
"3217","Rodentia","Orthogeomys grandis",499.99,NA,NA,NA
"3218","Rodentia","Orthogeomys heterodus",615,NA,NA,NA
"3219","Rodentia","Orthogeomys hispidus",499.99,NA,NA,1.97
"3220","Rodentia","Orthogeomys lanius",499.99,NA,NA,NA
"3221","Rodentia","Orthogeomys matagalpae",NA,NA,NA,NA
"3222","Rodentia","Orthogeomys thaeleri",NA,NA,NA,NA
"3223","Rodentia","Orthogeomys underwoodi",250,NA,NA,NA
"3224","Tubulidentata","Orycteropus afer",56175.2,1254.43,NA,1.1
"3225","Lagomorpha","Oryctolagus cuniculus",1590.57,400,0.04,5.24
"3226","Artiodactyla","Oryx beisa",200576.52,NA,NA,NA
"3227","Artiodactyla","Oryx dammah",199798.95,1910,NA,1
"3228","Artiodactyla","Oryx gazella",188404.45,1615,NA,1
"3229","Artiodactyla","Oryx leucoryx",75788.24,NA,NA,1
"3230","Rodentia","Oryzomys albigularis",60.5,NA,NA,3.4
"3231","Rodentia","Oryzomys alfaroi",33.3,NA,NA,3.59
"3232","Rodentia","Oryzomys angouya",120.17,NA,NA,NA
"3233","Rodentia","Oryzomys auriventer",60.5,NA,NA,NA
"3234","Rodentia","Oryzomys balneator",60.5,NA,NA,NA
"3235","Rodentia","Oryzomys bolivaris",60.5,116.02,NA,3.23
"3236","Rodentia","Oryzomys caracolus",NA,NA,NA,NA
"3237","Rodentia","Oryzomys chapmani",49.99,NA,NA,NA
"3238","Rodentia","Oryzomys couesi",69.29,NA,NA,3.63
"3239","Rodentia","Oryzomys seuanezi",NA,NA,NA,NA
"3240","Rodentia","Oryzomys subflavus",49.91,160,NA,4.37
"3241","Rodentia","Oryzomys talamancae",54.99,NA,NA,NA
"3242","Rodentia","Oryzomys tatei",NA,NA,NA,NA
"3243","Rodentia","Oryzomys xanthaeolus",79.79,NA,NA,NA
"3244","Rodentia","Oryzomys yunganus",60.5,NA,NA,NA
"3245","Afrosoricida","Oryzorictes hova",35.74,103.33,NA,NA
"3246","Afrosoricida","Oryzorictes tetradactylus",35.99,107.5,NA,NA
"3247","Rodentia","Osgoodomys banderanus",49.99,NA,NA,1.68
"3248","Carnivora","Otaria flavescens",193670.53,2112.38,NA,1
"3249","Carnivora","Otocyon megalotis",4098.12,537.63,1.13,4
"3250","Primates","Otolemur crassicaudatus",1206.61,307,0.06,1.14
"3251","Primates","Otolemur garnettii",811.17,NA,0.12,1.02
"3252","Primates","Otolemur monteiri",1577.16,NA,NA,2.1
"3253","Chiroptera","Otomops formosus",NA,NA,NA,NA
"3254","Chiroptera","Otomops johnstonei",NA,NA,NA,NA
"3255","Chiroptera","Otomops madagascariensis",NA,NA,NA,NA
"3256","Chiroptera","Otomops martiensseni",34.92,NA,NA,0.99
"3257","Chiroptera","Otomops papuensis",NA,NA,NA,NA
"3258","Chiroptera","Otomops secundus",NA,NA,NA,NA
"3259","Chiroptera","Otomops wroughtoni",NA,NA,NA,1
"3260","Rodentia","Otomys anchietae",NA,NA,NA,NA
"3261","Rodentia","Otomys angoniensis",100.64,150.24,NA,2.86
"3262","Rodentia","Otomys barbouri",NA,NA,NA,NA
"3263","Rodentia","Otomys burtoni",NA,NA,NA,NA
"3264","Rodentia","Otomys cuanzensis",NA,NA,NA,NA
"3265","Rodentia","Otomys dartmouthi",NA,NA,NA,NA
"3266","Rodentia","Otomys denti",120,NA,NA,1.59
"3267","Rodentia","Otomys dollmani",NA,NA,NA,NA
"3268","Rodentia","Otomys irroratus",114.45,163.48,0.001303714,1.65
"3269","Rodentia","Otomys jacksoni",NA,NA,NA,NA
"3270","Rodentia","Otomys lacustris",NA,NA,NA,NA
"3271","Rodentia","Otomys laminatus",150,NA,NA,NA
"3272","Rodentia","Otomys maximus",192,182.45,NA,3.7
"3273","Rodentia","Otomys occidentalis",NA,NA,NA,NA
"3274","Rodentia","Otomys orestes",NA,NA,NA,NA
"3275","Rodentia","Otomys saundersiae",NA,NA,NA,NA
"3276","Rodentia","Otomys tropicalis",NA,NA,NA,1.29
"3277","Rodentia","Otomys typus",NA,NA,NA,1.7
"3278","Rodentia","Otomys uzungwensis",NA,NA,NA,NA
"3279","Chiroptera","Otonycteris hemprichii",21.98,64.6,NA,1.38
"3280","Rodentia","Otonyctomys hatti",36.2,NA,NA,NA
"3281","Chiroptera","Otopteropus cartilagonodus",16.92,NA,NA,0.99
"3282","Rodentia","Ototylomys phyllotis",86.94,152.54,NA,2.2
"3283","Artiodactyla","Ourebia ourebi",17186.09,1160,NA,0.98
"3284","Artiodactyla","Ovibos moschatus",312500,NA,NA,1.01
"3285","Artiodactyla","Ovis ammon",113998.72,1585,4.59,1.22
"3286","Artiodactyla","Ovis aries",39097.89,1297.23,NA,1.19
"3287","Artiodactyla","Ovis canadensis",74644.87,1565.5,18.94,1.16
